,dialogue_id,utterance_id,caption
103,47,3,A man and a woman standing in a kitchen.
104,97,8,A woman is talking on a phone while sitting at a table.
105,17,21,A woman standing in front of a window.
106,268,11,A man in a white shirt and tie sitting at a table.
107,175,17,A woman standing next to a man in a room.
108,35,0,A group of people standing around a table.
109,70,11,Two men standing in a living room with a Wii controller.
110,140,6,A man standing next to a woman holding a Wii remote.
111,14,7,A woman wearing a baseball cap and holding a baseball bat.
112,167,15,A man in a suit standing in front of a wall.
113,140,11,Two men standing in a kitchen with a microwave.
114,96,15,A woman standing next to a table with a cake.
115,230,0,A man standing in a kitchen holding a remote control.
116,128,7,A man in a blue shirt and a blue tie.
117,39,1,A man and a woman sitting on a couch.
118,2,0,A cat sitting on a couch in a room.
119,49,16,A man and a woman standing in front of a television.
120,71,9,A man in a blue shirt and tie standing in front of a computer screen.
121,253,11,A man in a suit and tie standing next to a woman.
122,145,2,A man in a blue shirt and a blue tie.
123,160,3,A woman sitting on a chair in a room.
124,77,0,A man standing in front of a bench in a garden.
125,1,2,A man and a woman are in bed with a baby.
126,111,10,A man in a blue shirt and tie standing in front of a building.
127,226,7,Two women sitting on a couch with a remote.
128,54,8,A woman in a black dress and a man in a black dress.
129,45,5,A woman in a blue dress standing in front of a living room.
130,168,8,A group of people standing around a room.
131,78,6,A man and woman standing next to each other.
132,116,5,A woman in a bed with a pillow and a blanket.
133,268,3,A woman in a blue dress is talking on a cell phone.
134,156,14,Two men are looking at a video game.
135,121,1,A man and woman are standing together in front of a wall.
136,120,11,A woman in a blue shirt and blue jeans is sitting at a table.
137,244,1,A man and woman are playing a video game.
138,46,8,A woman and a man playing a guitar together.
139,88,13,Two men standing in front of a television holding a cake.
140,242,0,A man standing in front of a display of electronics.
141,69,5,A man in a red hat and a red hat stands in front of a painting.
142,233,6,Two women standing next to each other in a kitchen.
143,71,7,A man is standing in front of a wall with a video game.
144,278,7,A woman holding a smart phone in her right hand.
145,9,17,Two men standing in a room with a dresser.
146,123,3,A woman in a blue dress standing next to a man in a pink dress.
147,132,15,A woman standing in front of a wall holding a cell phone.
148,61,1,A woman in a blue dress is sitting at a table.
149,204,3,A woman sitting on a couch reading a book.
150,123,15,A woman in a blue dress sitting on a chair.
151,168,11,Two men standing in a room with a wall in the background.
152,213,1,A man in a suit sitting down holding a cup.
153,260,7,A man and woman are playing a video game.
154,155,0,A man standing in front of a mirror.
155,135,5,A man in a suit and tie standing next to a woman in a dress.
156,34,1,A woman sitting on a couch with a bottle of water.
157,33,3,A woman holding a stuffed animal in her hand.
158,262,10,A woman in a dress standing next to a blender.
159,93,0,A man sitting on a couch with a remote.
160,70,5,A man and woman sitting on a blue couch.
161,261,4,A man standing in front of a counter with a bunch of different things.
162,65,0,Two men are looking at a book in a kitchen.
163,161,6,A man and woman standing next to each other.
164,255,8,A woman is talking on a cell phone while holding a bottle.
165,69,1,A woman in a white shirt and black pants is looking at a computer screen.
166,241,5,A woman in a blue dress is sitting on a couch.
167,256,0,A woman in a pink dress standing next to a wall.
168,68,10,A man sitting on a couch with a piece of cake.
169,43,6,A group of people standing around a table.
170,133,5,A woman in a dress and a man in a dress.
171,143,4,A woman in a blue dress sitting on a chair.
172,116,4,A man standing in front of a window looking at something.
173,258,3,A group of people sitting around a table with a cake.
174,17,17,A woman standing next to a table with a tablecloth.
175,20,3,A man and a woman are standing in a room.
176,261,6,A man standing in front of a kitchen counter.
177,247,3,A man and woman standing next to each other.
178,234,2,Two men standing next to each other holding a cup.
179,200,1,A group of men sitting around a kitchen counter.
180,222,9,Two women standing next to each other in a room.
181,96,16,A woman is sitting at a table with a baby.
182,154,15,A man and woman are sitting on a couch.
183,17,27,A man and woman standing next to each other.
184,112,0,A person is standing next to a motorcycle.
185,198,4,A man standing next to a man in a room.
186,168,5,A group of people standing around a kitchen counter.
187,22,8,A man and woman standing in a kitchen.
188,133,12,A man and woman standing next to each other.
189,23,0,A woman in a blue shirt and black pants is standing in front of a door.
190,218,0,A group of people standing around a living room.
191,6,1,A man is working on his laptop while sitting at a table.
192,138,3,A man standing in front of a door with a camera.
193,112,1,A woman standing next to a man on a motorcycle.
194,57,3,A woman sitting at a desk with a book.
195,108,4,Two women standing next to each other in front of a building.
196,244,20,A woman in a green dress sitting on a couch.
197,149,0,A man standing in front of a window with a suitcase.
198,53,2,A woman and a man are standing in a room.
199,234,10,A woman sitting on a couch with a man sitting next to her.
200,22,9,A man and woman standing next to each other.
201,117,6,A man standing next to a man in a room.
202,233,13,A woman standing next to a table holding a guitar.
203,244,0,A woman sitting on a bed holding a book.
204,118,4,A man sitting at a table with a woman.
205,241,0,A man sitting at a table with a plate of food.
206,17,26,A man in a suit and tie standing next to a woman.
207,98,3,A man and woman standing in a kitchen.
208,124,1,A woman sitting on a chair with a cell phone.
209,130,9,A woman and a man are sitting at a table.
210,257,2,Two men are sitting in a bus with a teddy bear.
211,221,3,Two people standing next to each other in a room.
212,120,13,A man standing in front of a refrigerator next to a woman.
213,167,1,A woman sitting at a table with a man in a suit.
214,78,3,A woman and a man are sitting on a bench.
215,217,5,A woman holding a white towel next to a man.
216,8,3,A man in a suit and tie standing in front of a microphone.
217,76,5,A group of people playing a game with Nintendo Wii controllers.
218,259,2,Two men sitting on a couch with one of them holding a remote.
219,198,10,A man standing in a kitchen with a remote control.
220,25,15,Two women sitting on a chair in a room.
221,101,1,A woman holding a bat in a room.
222,63,0,A group of people standing in front of a mirror.
223,196,8,A man and woman standing next to each other in a room.
224,232,4,A man sitting on a couch with a laptop.
225,180,7,A man is reading a book while sitting on a bench.
226,150,3,A group of people sitting around a table.
227,42,5,A woman in a white dress and a woman in a black dress are sitting on a couch.
228,205,5,A group of men standing in front of a window.
229,224,7,A person laying on a bed with a book.
230,253,7,A man in a suit and tie standing next to a man in a suit and tie.
231,68,12,A man sitting on a couch with a box of ice cream.
232,32,9,A woman in a dress holding a green bag.
233,117,1,A man in a suit and tie standing next to a man in a suit and tie.
234,156,2,A man in a suit and tie standing in front of a door.
235,107,1,A man and a woman are sitting on a couch.
236,52,4,A man sitting at a table with a woman.
237,229,0,A woman in a dress standing next to a statue of a woman.
238,190,4,A woman sitting on a chair with a man in a chair.
239,213,8,A man in a suit and tie sitting on a chair.
240,81,1,A woman sitting at a table with a plate of food.
241,112,4,A woman standing next to a man with a lit candle.
242,89,0,A man holding a cake with a man in the background.
243,192,8,A woman is sitting at a table with blueberries.
244,182,1,A woman wearing a hat and a Santa hat.
245,230,6,A woman is standing in front of a door.
246,17,0,A group of people sitting on a couch.
247,268,2,A man and woman sitting on a chair in a room.
248,12,6,A couple of people sitting at a table with a laptop.
249,126,9,A woman and a child laying on a blue couch.
250,91,0,A group of people sitting around a table.
251,164,3,Two men sitting on a couch with their legs crossed.
252,99,9,"A sign that says ""Don't Drink"" on a bathroom sink."
253,141,0,A man and a woman standing next to each other.
254,204,6,A woman in a blue shirt and black pants holding a remote control.
255,214,3,Two men playing a game with remote controllers.
256,102,0,Two women are standing next to each other in a parking lot.
257,208,4,A man and woman are standing in a room.
258,195,11,A woman in a dress standing in a room.
259,226,4,Two women sitting on a couch with one woman holding a pink purse.
260,177,2,A woman is standing in a room with a phone.
261,134,0,Two men standing in a kitchen with a blender.
262,250,8,A group of people sitting on a bench in a public place.
263,147,4,A woman is standing in front of a wall.
264,270,2,A man in a suit and tie standing next to a woman.
265,233,5,A woman standing in a room with a bunch of pots.
266,259,0,A man sitting on a couch with a laptop.
267,131,0,A person sitting on a chair in a room.
268,126,3,A man and woman standing next to each other.
269,210,1,A woman in a dress standing in a kitchen.
270,173,5,A woman and a man standing next to each other.
271,72,6,A woman in a hospital bed with a blue sheet.
272,16,4,Two men in a kitchen with a blue tie.
273,126,10,A woman sitting on a blue chair next to a man.
274,222,2,A woman in a dress holding a vase with flowers.
275,259,10,A woman in a dress standing next to a wall.
276,120,15,A woman standing next to a man in a store.
277,113,0,A man holding a toy in his hand.
278,257,4,A bus with a bicycle on the front and a person on the back.
279,208,6,A woman and a man standing next to each other.
280,243,5,A man sitting at a table with a paper plate.
281,42,1,A man sitting in a chair holding a blue and white object.
282,258,2,A man sitting on a couch with a woman.
283,22,4,A man and a woman standing in a kitchen.
284,20,7,A man in a suit and tie standing in front of a mirror.
285,243,0,A woman standing next to a blue wall with a blue box.
286,147,10,A man and woman standing next to each other in a room.
287,16,6,A group of chefs standing around a table.
288,6,2,A man sitting at a table with a laptop.
289,25,7,Two women standing next to each other in a room.
290,84,1,A woman sitting on a couch with a remote.
291,129,6,A group of people standing around a table.
292,175,2,A woman in a pink shirt and blue pants is looking at a cellphone.
293,28,7,A woman in a black shirt and a blue shirt is standing in front of a wall.
294,210,9,A woman sitting on a chair holding a Nintendo Wii game controller.
295,14,4,A woman standing in front of a kitchen counter.
296,13,3,A woman sitting on a couch with a man in a chair.
297,133,14,A man and a woman standing next to each other.
298,22,2,A man standing in front of a table with a woman standing next to him.
299,154,7,A man sitting at a table with a plate of food.
300,255,4,A woman is sitting on a bed holding a remote.
301,93,11,A man standing in front of a camera holding a microphone.
302,46,5,A woman singing a song on a cell phone.
303,90,4,A woman in a purple dress is sitting on a couch.
304,141,3,A man and woman are sitting in a car.
305,158,6,Two women are standing in a room with a computer.
306,151,2,A woman standing in a bathroom next to a mirror.
307,157,1,A person laying on a bed with a baby.
308,229,3,A woman and a man standing next to each other.
309,4,3,A woman in a blue dress standing in front of a counter.
310,212,6,A man and woman standing next to each other.
311,267,7,A group of people standing around in a room.
312,173,3,A woman and a man are looking at a cat.
313,15,4,A man is sitting on a chair while a woman is standing next to him.
314,76,16,A woman standing in a kitchen with a knife in her hand.
315,34,9,A woman sitting on a couch with a girl in a blue dress.
316,240,3,A woman in a white dress is looking at her phone.
317,187,8,Two women are looking at their phones in a room.
318,72,5,A woman in a hospital bed with a baby.
319,100,17,A person sitting on a couch with a stuffed animal.
320,120,6,A woman sitting at a table with a man.
321,99,3,A man is sitting in a bathtub with a toothbrush.
322,86,6,Two men sitting at a table with plates of food.
323,181,2,A group of people sitting around a table.
324,96,10,A man and a woman standing in a room.
325,208,2,A man and woman are standing in a room.
326,107,4,A woman and a man are looking at each other.
327,260,8,A man and a woman standing next to each other.
328,184,6,A woman with a black face and a blue headband sitting on a couch.
329,11,3,Two women standing next to each other in a hallway.
330,144,1,A group of people sitting at a table with plates of food.
331,183,8,A man and woman standing in a room.
332,196,6,A man standing in front of a wall with a camera.
333,279,11,A man in a suit and tie standing in front of a wall.
334,175,7,A woman standing in front of a wall with a microphone.
335,250,5,A group of people sitting on a couch.
336,21,0,A man and woman are sitting on a couch.
337,132,9,A woman holding a cell phone in her hand.
338,116,8,A woman in a bed with a pillow and a blanket.
339,212,3,A group of people standing next to each other.
340,155,6,A man in a blue shirt and blue pants holding a blue disc.
341,123,9,A woman standing in front of a shelf of bottles.
342,173,6,A woman is standing in a room with a door.
343,34,14,A woman sitting on a couch with a girl in a chair.
344,28,14,A woman in a black dress holding a tennis racket.
345,86,4,A man and a woman standing next to each other.
346,109,2,A woman sitting at a table with a woman sitting at a table with a cake.
347,146,1,A man is standing in a living room with a laptop.
348,140,14,Two men standing in a kitchen next to each other.
349,269,3,A man sitting on a chair with a microphone.
350,32,7,Two women in costumes standing next to each other.
351,133,7,A woman standing next to a man in a bedroom.
352,247,0,A woman sitting on a couch next to a blue wall.
353,260,0,A woman standing in front of a door with a mirror.
354,67,3,A woman in a suit and tie standing in front of a laptop.
355,187,0,A group of people sitting around a table.
356,204,4,A woman sitting on a couch with a book.
357,169,7,A woman standing in front of a white wall.
358,100,18,A woman is sitting on a couch with a stuffed animal.
359,113,12,A man and woman standing in front of a cake.
360,39,11,A man in a suit and tie standing in front of a mirror.
361,130,16,A woman standing in front of a group of people.
362,271,1,A man in a black shirt and black headphones talking on a cell phone.
363,201,1,A man in a black shirt and a black tie holding a baseball bat.
364,158,4,A woman in a black dress and a black jacket.
365,106,2,A group of people standing around in a room.
366,146,5,A woman in a dress standing in front of a wall.
367,155,4,A man in a blue shirt and blue pants standing in front of a wall.
368,49,11,A woman and a man standing in a kitchen.
369,128,6,A woman in a blue shirt and a blue tie.
370,224,0,A building with a traffic light and a building in the background.
371,32,5,A woman in a white dress standing in front of a window.
372,201,8,A man and a woman standing next to each other.
373,165,0,A room filled with boxes and boxes of food.
374,32,1,A woman in a white dress sitting on a couch.
375,100,10,A child playing with a toy in a room.
376,70,20,A woman in a dress standing next to a wall.
377,184,4,A woman in a blue dress sitting on a blue couch.
378,152,1,A man and woman sitting on a couch with a video game controller.
379,111,2,A man and a woman are standing together in a room.
380,241,11,A woman in a blue dress is holding a sign.
381,77,3,Two men standing next to each other in front of a building.
382,132,17,A woman and a man are looking at something in a room.
383,29,5,A man standing next to a woman holding a remote.
384,204,7,Two women are reading a book while one holds a book.
385,125,7,A woman and a man sitting on a chair.
386,278,1,A woman in a green shirt holding a book.
387,161,8,A man and woman are standing together in a room.
388,132,11,A man and a woman standing next to each other.
389,199,4,A woman sitting on a couch with a laptop.
390,83,1,A group of people standing around a table.
391,132,8,A man and a woman standing next to each other.
392,261,0,A man standing in a kitchen holding a remote.
393,203,11,Two women are standing outside of a building.
394,117,7,A man in a black shirt and tie standing in front of a wall.
395,208,3,A woman and a man standing in a room.
396,184,7,A woman sitting on a chair with a blue and white face.
397,195,4,A man standing next to a woman in a room.
398,24,0,A woman sitting on a chair with a little girl.
399,195,1,A man standing in front of a television holding a Wii controller.
400,47,6,Two men standing in a kitchen with a blue tie.
401,253,9,A man in a suit and tie standing next to a man in a tie.
402,56,4,A man and woman are standing together in a room.
403,83,8,A man standing in front of a shelf full of books.
404,116,10,A man is standing in a hospital bed with a woman.
405,226,0,A group of women sitting on a couch.
406,118,2,A man sitting at a table with a woman.
407,125,5,A woman in a kitchen with a knife and a toy.
408,10,3,A man sitting at a table with a donut and a woman sitting next to him.
409,180,5,A woman sitting on a couch with a woman holding a cell phone.
410,102,3,Two women are standing in front of a car.
411,245,4,A woman in a black jacket and black pants is standing in front of a wall.
412,114,3,A man and a woman sitting on a couch.
413,17,3,A television with a picture of a man on it.
414,32,12,Two women standing in a kitchen with a bag.
415,102,6,Two women standing in front of a mirror.
416,173,16,A woman standing next to a man in front of a Christmas tree.
417,111,3,A man wearing a tie and a shirt.
418,213,7,A man sitting on a chair in a suit and tie.
419,83,5,A woman is standing at a table with a man.
420,15,2,A man and woman are standing together in a bar.
421,240,1,A man is watching a television show on a tv.
422,196,11,A man is looking at his cell phone.
423,253,8,A man in a suit and tie standing next to a man in a suit and tie.
424,41,12,Two women standing next to each other in a room.
425,84,0,A man and woman playing a video game.
426,169,17,A man and woman standing next to each other.
427,169,18,A man and woman standing next to each other.
428,216,0,A woman standing in front of a door.
429,70,3,A woman sitting on a couch with a man.
430,171,2,A man and a woman standing next to each other.
431,26,0,A woman standing next to a man in a kitchen.
432,93,9,Two men standing next to each other in a room.
433,262,12,A woman in a dress and a man in a suit.
434,78,0,A man and a woman standing next to each other.
435,1,3,A man is looking at a dog while a woman is looking at a camera.
436,95,15,A group of people standing around a room.
437,137,9,Two men standing in a room with a computer.
438,64,7,A man in a suit is playing a video game.
439,96,19,A man standing in a room holding a Wii controller.
440,167,10,A man in a suit and tie standing in front of a painting.
441,22,15,A man and woman are playing a video game.
442,51,2,A woman is standing in a kitchen with a man.
443,168,1,A man standing in a room with a table and a man standing in a room with a table
444,242,4,A man in a suit and tie standing in front of a counter.
445,53,5,Two women standing next to each other in a room.
446,24,2,Two girls are sitting in a room with a bed.
447,198,11,A man in a black shirt and tie standing in front of a kitchen.
448,55,2,A woman sitting on a couch with a laptop.
449,154,17,A man and woman are sitting on a couch.
450,215,6,A woman and a man standing next to each other.
451,133,13,A woman in a dress playing a guitar.
452,120,17,A woman standing in a kitchen with a blue shirt.
453,107,10,A man and woman are sitting on a couch.
454,217,6,A woman with a black eye and a black shirt and tie.
455,48,4,A man and a woman standing in a room.
456,85,2,A woman is sitting on a couch with her legs crossed.
457,237,7,A group of people sitting around a table.
458,123,7,A woman in a store looking at her phone.
459,203,8,A woman in a bikini sitting on a bench.
460,96,4,A woman in a dress standing in front of a refrigerator.
461,154,13,A man and a woman are sitting on a couch.
462,175,0,A woman sitting on a couch with a man sitting on a couch.
463,125,3,A woman in a blue dress standing in front of a refrigerator.
464,143,0,A man standing in front of a refrigerator.
465,174,0,A woman is sitting on a couch with a bottle of water.
466,72,15,A woman in a hospital bed with a blue sheet.
467,228,4,A group of people sitting around a table.
468,137,13,Two men standing next to each other in front of a window.
469,196,17,A man and woman are sitting at a table with a cake.
470,93,10,Two men standing next to each other in a room.
471,4,1,A woman in a dress standing in front of a counter.
472,259,12,A woman in a black shirt and a red tie.
473,202,5,A group of women sitting on a couch with a video game controller.
474,279,12,A man in a suit and tie standing in front of a building.
475,239,8,A man and a woman standing next to each other.
476,259,3,A man in a blue shirt and blue tie sitting in a chair.
477,34,11,A woman sitting on a couch with a girl in a blue dress.
478,192,3,A woman standing in a room holding a Nintendo Wii controller.
479,169,21,A man and woman standing next to each other.
480,278,0,A man standing in front of shelves of books.
481,227,0,A woman sitting on a couch with a cell phone.
482,137,5,A man standing in front of a door in a kitchen.
483,133,0,A man standing in front of a blue wall.
484,181,3,A group of people sitting around a table.
485,58,13,A woman sitting in a chair with a laptop.
486,264,3,A man standing in a room with a blue suitcase.
487,267,1,A group of people standing around in a room.
488,17,31,A man and woman standing next to each other.
489,8,5,A man in a suit talking on a cell phone.
490,229,7,A woman in a pink dress holding a cell phone.
491,49,0,A man and woman standing next to each other in a room.
492,267,4,A man standing next to a woman holding a Nintendo Wii controller.
493,96,20,A woman and a man are looking at a book.
494,169,6,A man and woman are posing for a picture.
495,266,14,A man standing in front of a wall with a flower arrangement.
496,274,3,A man in a suit and tie standing in front of a door.
497,142,0,A man standing in a kitchen with a bowl of ice cream.
498,58,14,A man standing in a room with a hat on.
499,48,6,A woman standing in a kitchen next to a table.
500,157,5,A woman is playing a video game on her laptop.
501,22,13,A man and a woman standing in a kitchen.
502,147,5,A woman is standing in front of a wall with a picture of a man.
503,157,0,A man standing in front of a cake with a blue ribbon around it.
504,28,2,A man is talking on a cell phone while standing next to a wall.
505,239,10,A woman in a black shirt and a black tie is talking on a cell phone.
506,46,4,A woman singing a song on a guitar.
507,260,3,A woman sitting on a couch with a laptop.
508,76,11,Two men standing next to each other in front of a wall.
509,182,9,A woman wearing a hat and a scarf talking on a cell phone.
510,46,6,A woman in a blue dress playing a guitar.
511,204,1,A woman is sitting on a chair in a room.
512,17,29,A man and woman standing next to each other.
513,100,16,A person sitting on a couch with a stuffed animal.
514,21,4,A woman and a man standing next to each other.
515,180,1,A man in a suit and tie standing next to a woman.
516,133,3,A man standing in front of a mirror with a beard.
517,245,2,A woman standing in a kitchen with a fridge.
518,153,7,A man and a woman sitting on a couch.
519,118,5,A couple of people sitting on a blue couch.
520,213,3,Two girls sitting on a couch with a man.
521,238,3,A man and woman are playing a video game.
522,111,7,A man and woman standing in a kitchen.
523,191,1,A group of people sitting around a table.
524,184,10,A woman sitting on a couch with a blue and purple flower.
525,164,5,Two men sitting on a couch with one of them holding a remote.
526,256,1,A man in a black shirt and tie standing next to a woman.
527,214,5,Two men standing in a room with a remote control.
528,81,0,A group of children sitting around a table eating food.
529,126,14,A woman standing in a living room with a child.
530,58,12,A woman in a blue dress sitting on a chair.
531,41,3,Two women are playing a game of Wii.
532,171,1,A man and a woman standing next to each other.
533,160,2,A woman sitting on a chair in a room.
534,8,4,A man standing in a kitchen next to a table with a computer.
535,65,5,Two men standing in a kitchen next to each other.
536,111,0,A city street with cars and a traffic light.
537,137,1,A woman in a blue shirt and a man in a black shirt.
538,48,1,A woman sitting on a couch with a pink flower.
539,180,8,A man in a suit and tie standing next to a sign.
540,97,5,A woman is talking on a phone while sitting at a table.
541,95,12,A woman and a man standing next to each other.
542,54,2,A man and woman standing next to each other.
543,252,8,A man sitting on a couch with a blue blanket.
544,98,10,A woman is standing in front of a painting.
545,28,10,A woman is standing in a hallway with a cell phone.
546,97,4,A woman is talking on a phone while holding a blue flower.
547,252,17,A man sitting in a chair with a book.
548,252,18,Two men sitting at a table with a cake.
549,64,0,Two men sitting on a couch with their hands on their laps.
550,68,6,A man sitting on a couch holding a piece of cake.
551,249,5,A man in a suit and tie standing next to a wall.
552,223,5,A woman and a dog are sitting on a couch.
553,32,8,A woman in a dress is holding a cell phone.
554,54,5,A man and woman sitting at a table with a cake.
555,253,6,A group of men standing around a room.
556,100,6,A stuffed animal sitting on top of a bed.
557,12,3,A man standing in front of a refrigerator.
558,206,3,A man and woman sitting on a couch with a Nintendo Wii game.
559,137,10,A man standing next to a woman in a room.
560,272,3,A man and a woman standing next to each other.
561,190,2,A man and woman standing next to each other.
562,113,2,A group of people standing around a room.
563,100,9,A woman is standing in front of a table with a toy elephant.
564,278,9,A woman and a man are sitting on a couch.
565,145,7,A man standing in front of a window with a blue shirt.
566,178,8,A man holding a baby and a stuffed animal.
567,70,19,A woman standing in front of a door with a blue umbrella.
568,231,10,Two men standing in front of a window looking at something.
569,239,1,A man standing next to a man in a room.
570,37,3,A man in a blue shirt holding a blue toothbrush.
571,43,1,A man and a woman standing in a kitchen.
572,270,7,A woman in a blue shirt and blue pants standing in front of a wall.
573,184,5,A woman in a blue dress sitting on a blue chair.
574,29,0,Two men standing next to each other in front of a wall.
575,155,7,A man standing in front of a shelf holding a game controller.
576,122,3,A man and a woman standing next to each other.
577,158,2,A woman in a dress standing in front of a store.
578,41,8,A woman in a dress and a man in a suit are standing in a room.
579,246,11,A man in a suit and tie sitting at a table.
580,112,15,A woman in a blue dress is standing next to a man.
581,268,4,A man and woman are sitting in a room.
582,252,3,A man standing in front of a brick wall.
583,94,1,Two men standing next to each other in a room.
584,168,0,A man standing next to a woman in a room.
585,253,1,Two men in suits are standing in a room.
586,132,7,A woman and a man standing next to each other.
587,225,3,A woman and a child sitting on a chair.
588,114,1,A group of people sitting around a table with a bunch of items.
589,225,4,A man holding a stuffed animal in his hand.
590,128,2,A man and woman are standing in a living room.
591,196,14,A group of people sitting around a table.
592,96,9,A woman standing in front of a red wall.
593,213,10,Two women sitting on a couch with one woman holding a cell phone.
594,80,7,A woman in a suit and tie standing in front of a window.
595,167,2,A group of people sitting around a table with a laptop.
596,22,3,A man and woman standing next to each other.
597,2,7,A person standing in a room with a large bed.
598,231,13,Two men standing next to each other in front of a store.
599,39,6,A woman in a blue dress sitting on a chair.
600,189,4,A group of people walking down a sidewalk.
601,143,5,A woman in a blue dress is looking at a phone.
602,140,12,Two men standing in a kitchen with a microwave.
603,13,0,A man sitting on a chair with a bird on his lap.
604,45,3,Two women in costumes standing next to each other.
605,78,7,A man and woman standing next to each other.
606,38,4,A man in a red shirt and a black shirt.
607,66,4,A man is standing in front of a screen.
608,4,2,A woman in a dress standing next to a statue.
609,173,14,A woman in a blue dress talking on a cell phone.
610,22,17,A man and a woman standing next to each other.
611,163,8,A man and woman sitting on a couch with a book.
612,85,1,A man in a suit and tie standing in front of a computer.
613,191,7,A man in a tie is holding a cell phone.
614,173,7,A man sitting on a couch holding a stuffed animal.
